facility_type,total_facilities,avg_trust_score,high_trust_facilities,moderate_trust_facilities,low_trust_facilities,high_risk_facilities,ready_facilities,usable_with_verification_facilities,do_not_recommend_facilities,contradiction_flag_count,high_risk_percent,ready_percent,do_not_recommend_percent,contradiction_percent,facility_type_risk_level,recommended_data_action
pharmacy,18,46.89,2,1,9,6,2,1,15,2,33.33,11.11,83.33,11.11,Very High Verification Gap,Prioritize evidence enrichment and manual validation for pharmacy records before using them in recommendations.
hospital,2789,39.51,190,541,666,1392,183,548,2058,636,49.91,6.56,73.79,22.8,Very High Verification Gap,Prioritize evidence enrichment and manual validation for hospital records before using them in recommendations.
farmacy,166,47.75,4,47,69,46,4,47,115,15,27.71,2.41,69.28,9.04,Very High Verification Gap,Prioritize evidence enrichment and manual validation for farmacy records before using them in recommendations.
doctor,276,45.52,20,65,94,97,20,65,191,48,35.14,7.25,69.2,17.39,Very High Verification Gap,Prioritize evidence enrichment and manual validation for doctor records before using them in recommendations.
clinic,6011,49.42,929,1675,1150,2257,913,1691,3407,831,37.55,15.19,56.68,13.82,High Verification Gap,Add stricter validation and warning badges for clinic records.
dentist,740,54.34,138,235,157,210,136,237,367,92,28.38,18.38,49.59,12.43,Moderate Verification Gap,Continue routine monitoring for dentist records.
